ProductKey,ProductName,Category,Subcategory,Brand,UnitCost,UnitPrice
1,Sports Cycling Item 1,Sports,Cycling,Pulse,451.26,633.89
2,Sports Outdoor Item 2,Sports,Outdoor,Aurora,429.68,610.65
3,Beauty Haircare Item 3,Beauty,Haircare,Aurora,16.05,25.46
4,Home & Garden Bedding Item 4,Home & Garden,Bedding,Zenith,417.92,567.02
5,Electronics Phone Item 5,Electronics,Phone,NovaTech,222.21,285.53
6,Home & Garden Furniture Item 6,Home & Garden,Furniture,Mosaic,79.38,94.4
7,Electronics Phone Item 7,Electronics,Phone,UrbanStyle,44.91,70.3
8,Home & Garden Decor Item 8,Home & Garden,Decor,Skyline,37.92,48.08
9,Electronics Tablet Item 9,Electronics,Tablet,Acme,390.32,492.64
10,Home & Garden Furniture Item 10,Home & Garden,Furniture,Mosaic,348.81,536.88
11,Sports Outdoor Item 11,Sports,Outdoor,Summit,445.75,581.38
12,Fashion Menswear Item 12,Fashion,Menswear,NovaTech,59.97,95.33
13,Home & Garden Furniture Item 13,Home & Garden,Furniture,Aurora,141.54,182
14,Home & Garden Bedding Item 14,Home & Garden,Bedding,GreenLeaf,201.7,284.01
15,Home & Garden Decor Item 15,Home & Garden,Decor,NovaTech,159.16,223.88
16,Beauty Fragrance Item 16,Beauty,Fragrance,Skyline,389.58,449.35
17,Electronics Laptop Item 17,Electronics,Laptop,Mosaic,35.7,51.4
18,Fashion Womenswear Item 18,Fashion,Womenswear,Aurora,478.49,526.59
19,Home & Garden Kitchen Item 19,Home & Garden,Kitchen,UrbanStyle,394.9,544.51
20,Electronics Camera Item 20,Electronics,Camera,Skyline,343.97,471.15
21,Home & Garden Kitchen Item 21,Home & Garden,Kitchen,Aurora,464.75,679.82
22,Beauty Makeup Item 22,Beauty,Makeup,GreenLeaf,214.27,271.9
23,Electronics Camera Item 23,Electronics,Camera,Skyline,31.84,38.48
24,Beauty Skincare Item 24,Beauty,Skincare,UrbanStyle,427.82,514.44
25,Beauty Fragrance Item 25,Beauty,Fragrance,Summit,27.13,35.34
26,Sports Team Sports Item 26,Sports,Team Sports,Zenith,42.55,47.77
27,Sports Cycling Item 27,Sports,Cycling,Zenith,438.12,644.66
28,Fashion Accessories Item 28,Fashion,Accessories,Mosaic,152.83,237.13
29,Home & Garden Decor Item 29,Home & Garden,Decor,GreenLeaf,456.52,696.27
30,Electronics Phone Item 30,Electronics,Phone,NovaTech,97.46,121.32
